,LHS,RHS,support,confidence,coverage,lift,count
951,"{SILICON DIOXIDE, ANHYDROUS}",{LACTOSE MONOHYDRATE},0.19,0.44,0.44,0.97,79
952,{LACTOSE MONOHYDRATE},"{SILICON DIOXIDE, ANHYDROUS}",0.19,0.42,0.45,0.97,79
953,"{SILICON DIOXIDE, ANHYDROUS}",{TALC},0.25,0.58,0.44,1.08,104
954,{TALC},"{SILICON DIOXIDE, ANHYDROUS}",0.25,0.47,0.53,1.08,104
955,"{SILICON DIOXIDE, ANHYDROUS}",{HYPROMELLOSE},0.24,0.55,0.44,0.99,99
956,{HYPROMELLOSE},"{SILICON DIOXIDE, ANHYDROUS}",0.24,0.43,0.56,0.99,99
957,"{SILICON DIOXIDE, ANHYDROUS}",{IRON OXIDE},0.27,0.62,0.44,1.02,112
958,{IRON OXIDE},"{SILICON DIOXIDE, ANHYDROUS}",0.27,0.45,0.61,1.02,112
959,"{SILICON DIOXIDE, ANHYDROUS}",{POLYETHYLENE GLYCOL},0.3,0.69,0.44,1.06,125
960,{POLYETHYLENE GLYCOL},"{SILICON DIOXIDE, ANHYDROUS}",0.3,0.46,0.66,1.06,125
961,"{SILICON DIOXIDE, ANHYDROUS}",{MICROCRYSTALLINE CELLULOSE},0.36,0.83,0.44,1.06,149
962,{MICROCRYSTALLINE CELLULOSE},"{SILICON DIOXIDE, ANHYDROUS}",0.36,0.47,0.78,1.06,149
963,"{SILICON DIOXIDE, ANHYDROUS}",{MAGNESIUM STEARATE},0.37,0.85,0.44,0.98,153
964,{MAGNESIUM STEARATE},"{SILICON DIOXIDE, ANHYDROUS}",0.37,0.43,0.86,0.98,153
965,"{SILICON DIOXIDE, ANHYDROUS}",{TITANIUM DIOXIDE},0.37,0.86,0.44,1.02,154
966,{TITANIUM DIOXIDE},"{SILICON DIOXIDE, ANHYDROUS}",0.37,0.45,0.84,1.02,154
967,{LACTOSE MONOHYDRATE},{TALC},0.2,0.45,0.45,0.85,84
968,{TALC},{LACTOSE MONOHYDRATE},0.2,0.38,0.53,0.85,84
969,{LACTOSE MONOHYDRATE},{HYPROMELLOSE},0.29,0.64,0.45,1.15,119
970,{HYPROMELLOSE},{LACTOSE MONOHYDRATE},0.29,0.52,0.56,1.15,119
971,{LACTOSE MONOHYDRATE},{IRON OXIDE},0.25,0.55,0.45,0.9,102
972,{IRON OXIDE},{LACTOSE MONOHYDRATE},0.25,0.41,0.61,0.9,102
973,{LACTOSE MONOHYDRATE},{POLYETHYLENE GLYCOL},0.27,0.6,0.45,0.92,112
974,{POLYETHYLENE GLYCOL},{LACTOSE MONOHYDRATE},0.27,0.41,0.66,0.92,112
975,{LACTOSE MONOHYDRATE},{MICROCRYSTALLINE CELLULOSE},0.37,0.82,0.45,1.05,152
976,{MICROCRYSTALLINE CELLULOSE},{LACTOSE MONOHYDRATE},0.37,0.48,0.78,1.05,152
977,{LACTOSE MONOHYDRATE},{MAGNESIUM STEARATE},0.4,0.89,0.45,1.03,165
978,{MAGNESIUM STEARATE},{LACTOSE MONOHYDRATE},0.4,0.46,0.86,1.03,165
979,{LACTOSE MONOHYDRATE},{TITANIUM DIOXIDE},0.38,0.85,0.45,1.01,158
980,{TITANIUM DIOXIDE},{LACTOSE MONOHYDRATE},0.38,0.46,0.84,1.01,158
981,{TALC},{HYPROMELLOSE},0.22,0.41,0.53,0.73,89
982,{HYPROMELLOSE},{TALC},0.22,0.39,0.56,0.73,89
983,{TALC},{IRON OXIDE},0.38,0.72,0.53,1.19,158
984,{IRON OXIDE},{TALC},0.38,0.63,0.61,1.19,158
985,{TALC},{POLYETHYLENE GLYCOL},0.42,0.79,0.53,1.2,173
986,{POLYETHYLENE GLYCOL},{TALC},0.42,0.64,0.66,1.2,173
987,{TALC},{MICROCRYSTALLINE CELLULOSE},0.42,0.78,0.53,1.0,171
988,{MICROCRYSTALLINE CELLULOSE},{TALC},0.42,0.53,0.78,1.0,171
989,{TALC},{MAGNESIUM STEARATE},0.45,0.85,0.53,0.99,187
990,{MAGNESIUM STEARATE},{TALC},0.45,0.53,0.86,0.99,187
991,{TALC},{TITANIUM DIOXIDE},0.51,0.95,0.53,1.13,209
992,{TITANIUM DIOXIDE},{TALC},0.51,0.6,0.84,1.13,209
993,{HYPROMELLOSE},{IRON OXIDE},0.36,0.65,0.56,1.07,149
994,{IRON OXIDE},{HYPROMELLOSE},0.36,0.6,0.61,1.07,149
995,{HYPROMELLOSE},{POLYETHYLENE GLYCOL},0.38,0.68,0.56,1.03,155
996,{POLYETHYLENE GLYCOL},{HYPROMELLOSE},0.38,0.57,0.66,1.03,155
997,{HYPROMELLOSE},{MICROCRYSTALLINE CELLULOSE},0.43,0.77,0.56,0.99,176
998,{MICROCRYSTALLINE CELLULOSE},{HYPROMELLOSE},0.43,0.55,0.78,0.99,176
999,{HYPROMELLOSE},{MAGNESIUM STEARATE},0.48,0.87,0.56,1.01,199
1000,{MAGNESIUM STEARATE},{HYPROMELLOSE},0.48,0.56,0.86,1.01,199
1001,{HYPROMELLOSE},{TITANIUM DIOXIDE},0.54,0.96,0.56,1.14,220
1002,{TITANIUM DIOXIDE},{HYPROMELLOSE},0.54,0.64,0.84,1.14,220
1003,{IRON OXIDE},{POLYETHYLENE GLYCOL},0.43,0.71,0.61,1.08,178
1004,{POLYETHYLENE GLYCOL},{IRON OXIDE},0.43,0.66,0.66,1.08,178
1005,{IRON OXIDE},{MICROCRYSTALLINE CELLULOSE},0.48,0.78,0.61,1.01,196
1006,{MICROCRYSTALLINE CELLULOSE},{IRON OXIDE},0.48,0.61,0.78,1.01,196
1007,{IRON OXIDE},{MAGNESIUM STEARATE},0.53,0.87,0.61,1.01,218
1008,{MAGNESIUM STEARATE},{IRON OXIDE},0.53,0.61,0.86,1.01,218
1009,{IRON OXIDE},{TITANIUM DIOXIDE},0.57,0.94,0.61,1.11,234
1010,{TITANIUM DIOXIDE},{IRON OXIDE},0.57,0.68,0.84,1.11,234
1011,{POLYETHYLENE GLYCOL},{MICROCRYSTALLINE CELLULOSE},0.52,0.79,0.66,1.02,214
1012,{MICROCRYSTALLINE CELLULOSE},{POLYETHYLENE GLYCOL},0.52,0.67,0.78,1.02,214
1013,{POLYETHYLENE GLYCOL},{MAGNESIUM STEARATE},0.56,0.85,0.66,0.98,229
1014,{MAGNESIUM STEARATE},{POLYETHYLENE GLYCOL},0.56,0.65,0.86,0.98,229
1015,{POLYETHYLENE GLYCOL},{TITANIUM DIOXIDE},0.64,0.98,0.66,1.16,264
1016,{TITANIUM DIOXIDE},{POLYETHYLENE GLYCOL},0.64,0.76,0.84,1.16,264
1017,{MICROCRYSTALLINE CELLULOSE},{MAGNESIUM STEARATE},0.68,0.87,0.78,1.01,279
1018,{MAGNESIUM STEARATE},{MICROCRYSTALLINE CELLULOSE},0.68,0.79,0.86,1.01,279
1019,{MICROCRYSTALLINE CELLULOSE},{TITANIUM DIOXIDE},0.67,0.86,0.78,1.02,274
1020,{TITANIUM DIOXIDE},{MICROCRYSTALLINE CELLULOSE},0.67,0.79,0.84,1.02,274
1021,{MAGNESIUM STEARATE},{TITANIUM DIOXIDE},0.72,0.84,0.86,0.99,297
1022,{TITANIUM DIOXIDE},{MAGNESIUM STEARATE},0.72,0.86,0.84,0.99,297
