,LHS,RHS,support,confidence,coverage,lift,count
735,{GLYCEROL TRIACETATE},{CROSCARMELLOSE SODIUM},0.08,0.54,0.15,1.22,34
736,{CROSCARMELLOSE SODIUM},{GLYCEROL TRIACETATE},0.08,0.19,0.44,1.22,34
737,{GLYCEROL TRIACETATE},"{SILICON DIOXIDE, ANHYDROUS}",0.07,0.48,0.15,1.09,30
738,"{SILICON DIOXIDE, ANHYDROUS}",{GLYCEROL TRIACETATE},0.07,0.17,0.44,1.09,30
739,{GLYCEROL TRIACETATE},{LACTOSE MONOHYDRATE},0.11,0.73,0.15,1.61,46
740,{LACTOSE MONOHYDRATE},{GLYCEROL TRIACETATE},0.11,0.25,0.45,1.61,46
741,{GLYCEROL TRIACETATE},{TALC},0.03,0.19,0.15,0.36,12
742,{TALC},{GLYCEROL TRIACETATE},0.03,0.05,0.53,0.36,12
743,{GLYCEROL TRIACETATE},{HYPROMELLOSE},0.15,0.97,0.15,1.74,61
744,{HYPROMELLOSE},{GLYCEROL TRIACETATE},0.15,0.27,0.56,1.74,61
745,{GLYCEROL TRIACETATE},{IRON OXIDE},0.1,0.67,0.15,1.1,42
746,{IRON OXIDE},{GLYCEROL TRIACETATE},0.1,0.17,0.61,1.1,42
747,{GLYCEROL TRIACETATE},{POLYETHYLENE GLYCOL},0.05,0.3,0.15,0.46,19
748,{POLYETHYLENE GLYCOL},{GLYCEROL TRIACETATE},0.05,0.07,0.66,0.46,19
749,{GLYCEROL TRIACETATE},{MICROCRYSTALLINE CELLULOSE},0.14,0.89,0.15,1.14,56
750,{MICROCRYSTALLINE CELLULOSE},{GLYCEROL TRIACETATE},0.14,0.18,0.78,1.14,56
751,{GLYCEROL TRIACETATE},{MAGNESIUM STEARATE},0.14,0.89,0.15,1.03,56
752,{MAGNESIUM STEARATE},{GLYCEROL TRIACETATE},0.14,0.16,0.86,1.03,56
753,{GLYCEROL TRIACETATE},{TITANIUM DIOXIDE},0.15,0.97,0.15,1.15,61
754,{TITANIUM DIOXIDE},{GLYCEROL TRIACETATE},0.15,0.18,0.84,1.15,61
755,{SODIUM LAURIL SULFATE},{MANNITOL},0.02,0.14,0.14,0.79,8
756,{MANNITOL},{SODIUM LAURIL SULFATE},0.02,0.11,0.18,0.79,8
757,{SODIUM LAURIL SULFATE},{INDIGO CARMINE},0.02,0.16,0.14,1.0,9
758,{INDIGO CARMINE},{SODIUM LAURIL SULFATE},0.02,0.14,0.16,1.0,9
759,{SODIUM LAURIL SULFATE},{HYDROXYPROPYLCELLULOSE},0.05,0.34,0.14,1.61,20
760,{HYDROXYPROPYLCELLULOSE},{SODIUM LAURIL SULFATE},0.05,0.23,0.21,1.61,20
761,{SODIUM LAURIL SULFATE},{CROSPOVIDONE},0.03,0.21,0.14,0.91,12
762,{CROSPOVIDONE},{SODIUM LAURIL SULFATE},0.03,0.13,0.23,0.91,12
763,{SODIUM LAURIL SULFATE},{POLYVINYL ALCOHOL},0.05,0.38,0.14,1.5,22
764,{POLYVINYL ALCOHOL},{SODIUM LAURIL SULFATE},0.05,0.21,0.25,1.5,22
765,{SODIUM LAURIL SULFATE},{POVIDONE},0.04,0.28,0.14,0.92,16
